Word,Frames path
BED,ISL_CSLRT_Corpus\Frames_Word_Level\BED\BED (7).jpg
BORED,ISL_CSLRT_Corpus\Frames_Word_Level\BORED\BORED (1).jpg
BORED,ISL_CSLRT_Corpus\Frames_Word_Level\BORED\BORED (2).jpg
BORED,ISL_CSLRT_Corpus\Frames_Word_Level\BORED\BORED (3).jpg
BORED,ISL_CSLRT_Corpus\Frames_Word_Level\BORED\BORED (4).jpg
BORED,ISL_CSLRT_Corpus\Frames_Word_Level\BORED\BORED (5).jpg
BORED,ISL_CSLRT_Corpus\Frames_Word_Level\BORED\BORED (6).jpg
BRING,ISL_CSLRT_Corpus\Frames_Word_Level\BRING\BRING-1.jpg
BRING,ISL_CSLRT_Corpus\Frames_Word_Level\BRING\BRING-2.jpg
BRING,ISL_CSLRT_Corpus\Frames_Word_Level\BRING\BRING-3.jpg
BRING,ISL_CSLRT_Corpus\Frames_Word_Level\BRING\BRING-4.jpg
BRING,ISL_CSLRT_Corpus\Frames_Word_Level\BRING\BRING-5.jpg
BRING,ISL_CSLRT_Corpus\Frames_Word_Level\BRING\BRING-6.jpg
BRING,ISL_CSLRT_Corpus\Frames_Word_Level\BRING\BRING-7.jpg
CHAT,ISL_CSLRT_Corpus\Frames_Word_Level\CHAT\CHAT (2).jpg
CHAT,ISL_CSLRT_Corpus\Frames_Word_Level\CHAT\CHAT (3).jpg
CHAT,ISL_CSLRT_Corpus\Frames_Word_Level\CHAT\CHAT (4).jpg
CHAT,ISL_CSLRT_Corpus\Frames_Word_Level\CHAT\CHAT (5).jpg
CHAT,ISL_CSLRT_Corpus\Frames_Word_Level\CHAT\CHAT (6).jpg
CHAT,ISL_CSLRT_Corpus\Frames_Word_Level\CHAT\CHAT.jpg
CLASS,ISL_CSLRT_Corpus\Frames_Word_Level\CLASS\CLASS (1).jpg
CLASS,ISL_CSLRT_Corpus\Frames_Word_Level\CLASS\CLASS (2).jpg
CLASS,ISL_CSLRT_Corpus\Frames_Word_Level\CLASS\CLASS (3).jpg
CLASS,ISL_CSLRT_Corpus\Frames_Word_Level\CLASS\CLASS (4).jpg
CLASS,ISL_CSLRT_Corpus\Frames_Word_Level\CLASS\CLASS (5).jpg
COLD,ISL_CSLRT_Corpus\Frames_Word_Level\COLD\COLD (1).jpg
COLD,ISL_CSLRT_Corpus\Frames_Word_Level\COLD\COLD (2).jpg
COLD,ISL_CSLRT_Corpus\Frames_Word_Level\COLD\COLD (3).jpg
COLD,ISL_CSLRT_Corpus\Frames_Word_Level\COLD\COLD (4).jpg
COLD,ISL_CSLRT_Corpus\Frames_Word_Level\COLD\COLD (5).jpg
COLD,ISL_CSLRT_Corpus\Frames_Word_Level\COLD\COLD (6).jpg
COLD,ISL_CSLRT_Corpus\Frames_Word_Level\COLD\COLD (7).jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\COLLEGE OR SCHOOL (1).jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\COLLEGE OR SCHOOL (2).jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\COLLEGE OR SCHOOL (3).jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\COLLEGE OR SCHOOL (4).jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\COLLEGE OR SCHOOL (6).jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\COLLEGE OR SCHOOL.jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\FROM (1).jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\FROM (2).jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\FROM (3).jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\FROM (4).jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\FROM (5).jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\FROM (6).jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\WHICH (1).jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\WHICH (2).jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\WHICH (3).jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\WHICH (4).jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\WHICH (5).jpg
COLLEGE_SCHOOL,ISL_CSLRT_Corpus\Frames_Word_Level\COLLEGE_SCHOOL\WHICH (6).jpg
COMB,ISL_CSLRT_Corpus\Frames_Word_Level\COMB\COMB (1).jpg
COMB,ISL_CSLRT_Corpus\Frames_Word_Level\COMB\COMB (2).jpg
COMB,ISL_CSLRT_Corpus\Frames_Word_Level\COMB\COMB (3).jpg
COMB,ISL_CSLRT_Corpus\Frames_Word_Level\COMB\COMB (4).jpg
COMB,ISL_CSLRT_Corpus\Frames_Word_Level\COMB\COMB (5).jpg
COMB,ISL_CSLRT_Corpus\Frames_Word_Level\COMB\COMB (6).jpg
COMB,ISL_CSLRT_Corpus\Frames_Word_Level\COMB\COMB (7).jpg
COME,ISL_CSLRT_Corpus\Frames_Word_Level\COME\COME (1).jpg
COME,ISL_CSLRT_Corpus\Frames_Word_Level\COME\COME (2).jpg
COME,ISL_CSLRT_Corpus\Frames_Word_Level\COME\COME (3).jpg
COME,ISL_CSLRT_Corpus\Frames_Word_Level\COME\COME (4).jpg
COME,ISL_CSLRT_Corpus\Frames_Word_Level\COME\COME (5).jpg
COME,ISL_CSLRT_Corpus\Frames_Word_Level\COME\COME.jpg
CONGRATULATIONS,ISL_CSLRT_Corpus\Frames_Word_Level\CONGRATULATIONS\CONGRATULATIONS (1).jpg
CONGRATULATIONS,ISL_CSLRT_Corpus\Frames_Word_Level\CONGRATULATIONS\CONGRATULATIONS (2).jpg
CONGRATULATIONS,ISL_CSLRT_Corpus\Frames_Word_Level\CONGRATULATIONS\CONGRATULATIONS (3).jpg
CONGRATULATIONS,ISL_CSLRT_Corpus\Frames_Word_Level\CONGRATULATIONS\CONGRATULATIONS (4).jpg
CONGRATULATIONS,ISL_CSLRT_Corpus\Frames_Word_Level\CONGRATULATIONS\CONGRATULATIONS (5).jpg
CONGRATULATIONS,ISL_CSLRT_Corpus\Frames_Word_Level\CONGRATULATIONS\CONGRATULATIONS (6).jpg
CONGRATULATIONS,ISL_CSLRT_Corpus\Frames_Word_Level\CONGRATULATIONS\CONGRATULATIONS (7).jpg
CRYING,ISL_CSLRT_Corpus\Frames_Word_Level\CRYING\CRYING (1).jpg
CRYING,ISL_CSLRT_Corpus\Frames_Word_Level\CRYING\CRYING (10).jpg
CRYING,ISL_CSLRT_Corpus\Frames_Word_Level\CRYING\CRYING (11).jpg
CRYING,ISL_CSLRT_Corpus\Frames_Word_Level\CRYING\CRYING (12).jpg
CRYING,ISL_CSLRT_Corpus\Frames_Word_Level\CRYING\CRYING (13).jpg
CRYING,ISL_CSLRT_Corpus\Frames_Word_Level\CRYING\CRYING (2).jpg
CRYING,ISL_CSLRT_Corpus\Frames_Word_Level\CRYING\CRYING (3).jpg
CRYING,ISL_CSLRT_Corpus\Frames_Word_Level\CRYING\CRYING (4).jpg
CRYING,ISL_CSLRT_Corpus\Frames_Word_Level\CRYING\CRYING (5).jpg
CRYING,ISL_CSLRT_Corpus\Frames_Word_Level\CRYING\CRYING (6).jpg
CRYING,ISL_CSLRT_Corpus\Frames_Word_Level\CRYING\CRYING (7).jpg
CRYING,ISL_CSLRT_Corpus\Frames_Word_Level\CRYING\CRYING (8).jpg
CRYING,ISL_CSLRT_Corpus\Frames_Word_Level\CRYING\CRYING (9).jpg
DARE,ISL_CSLRT_Corpus\Frames_Word_Level\DARE\DARE (1).jpg
DARE,ISL_CSLRT_Corpus\Frames_Word_Level\DARE\DARE (2).jpg
DARE,ISL_CSLRT_Corpus\Frames_Word_Level\DARE\DARE (3).jpg
DARE,ISL_CSLRT_Corpus\Frames_Word_Level\DARE\DARE (4).jpg
DARE,ISL_CSLRT_Corpus\Frames_Word_Level\DARE\DARE (5).jpg
DARE,ISL_CSLRT_Corpus\Frames_Word_Level\DARE\DARE (6).jpg
DIFFERENCE,ISL_CSLRT_Corpus\Frames_Word_Level\DIFFERENCE\DIFFERENCE (1).jpg
DIFFERENCE,ISL_CSLRT_Corpus\Frames_Word_Level\DIFFERENCE\DIFFERENCE (2).jpg
DIFFERENCE,ISL_CSLRT_Corpus\Frames_Word_Level\DIFFERENCE\difference (3) 41.jpg
DIFFERENCE,ISL_CSLRT_Corpus\Frames_Word_Level\DIFFERENCE\DIFFERENCE (3).jpg
DIFFERENCE,ISL_CSLRT_Corpus\Frames_Word_Level\DIFFERENCE\DIFFERENCE (4).jpg
DILEMMA,ISL_CSLRT_Corpus\Frames_Word_Level\DILEMMA\DILEMMA (1).jpg
DILEMMA,ISL_CSLRT_Corpus\Frames_Word_Level\DILEMMA\DILEMMA (2).jpg
DILEMMA,ISL_CSLRT_Corpus\Frames_Word_Level\DILEMMA\DILEMMA (3).jpg
DILEMMA,ISL_CSLRT_Corpus\Frames_Word_Level\DILEMMA\DILEMMA (4).jpg
DILEMMA,ISL_CSLRT_Corpus\Frames_Word_Level\DILEMMA\DILEMMA (5).jpg
DILEMMA,ISL_CSLRT_Corpus\Frames_Word_Level\DILEMMA\DILEMMA (6).jpg
DISAPPOINTED,ISL_CSLRT_Corpus\Frames_Word_Level\DISAPPOINTED\DISAPPOINTED (1).jpg
DISAPPOINTED,ISL_CSLRT_Corpus\Frames_Word_Level\DISAPPOINTED\DISAPPOINTED (2).jpg
DISAPPOINTED,ISL_CSLRT_Corpus\Frames_Word_Level\DISAPPOINTED\DISAPPOINTED (3).jpg
DISAPPOINTED,ISL_CSLRT_Corpus\Frames_Word_Level\DISAPPOINTED\DISAPPOINTED (4).jpg
DISAPPOINTED,ISL_CSLRT_Corpus\Frames_Word_Level\DISAPPOINTED\DISAPPOINTED (5).jpg
DISAPPOINTED,ISL_CSLRT_Corpus\Frames_Word_Level\DISAPPOINTED\DISAPPOINTED (6).jpg
DO,ISL_CSLRT_Corpus\Frames_Word_Level\DO\DO-1.jpg
DO,ISL_CSLRT_Corpus\Frames_Word_Level\DO\DO-2.jpg
DO,ISL_CSLRT_Corpus\Frames_Word_Level\DO\DO-3.jpg
DO,ISL_CSLRT_Corpus\Frames_Word_Level\DO\DO-4.jpg
DO,ISL_CSLRT_Corpus\Frames_Word_Level\DO\DO-5.jpg
DO,ISL_CSLRT_Corpus\Frames_Word_Level\DO\DO-6.jpg
DO,ISL_CSLRT_Corpus\Frames_Word_Level\DO\DOING (1).jpg
DO,ISL_CSLRT_Corpus\Frames_Word_Level\DO\DOING (2).jpg
DO,ISL_CSLRT_Corpus\Frames_Word_Level\DO\DOING (3).jpg
DO,ISL_CSLRT_Corpus\Frames_Word_Level\DO\DOING (4).jpg
DO,ISL_CSLRT_Corpus\Frames_Word_Level\DO\DOING (5).jpg
DO,ISL_CSLRT_Corpus\Frames_Word_Level\DO\DOING (6).jpg
DON'T CARE,ISL_CSLRT_Corpus\Frames_Word_Level\DON'T CARE\DONT CARE (1).jpg
DON'T CARE,ISL_CSLRT_Corpus\Frames_Word_Level\DON'T CARE\DONT CARE (2).jpg
DON'T CARE,ISL_CSLRT_Corpus\Frames_Word_Level\DON'T CARE\DONT CARE (3).jpg
ENJOY,ISL_CSLRT_Corpus\Frames_Word_Level\ENJOY\ENJOY (2).jpg
ENJOY,ISL_CSLRT_Corpus\Frames_Word_Level\ENJOY\ENJOY (4).jpg
ENJOY,ISL_CSLRT_Corpus\Frames_Word_Level\ENJOY\ENJOY (6).jpg
ENJOY,ISL_CSLRT_Corpus\Frames_Word_Level\ENJOY\ENJOY (8).jpg
FAVOUR,ISL_CSLRT_Corpus\Frames_Word_Level\FAVOUR\FAVOUR (1).jpg
FAVOUR,ISL_CSLRT_Corpus\Frames_Word_Level\FAVOUR\FAVOUR (4).jpg
FAVOUR,ISL_CSLRT_Corpus\Frames_Word_Level\FAVOUR\FAVOUR (6).jpg
FAVOUR,ISL_CSLRT_Corpus\Frames_Word_Level\FAVOUR\FAVOUR (7).jpg
FEVER,ISL_CSLRT_Corpus\Frames_Word_Level\FEVER\FEVER (1).jpg
FEVER,ISL_CSLRT_Corpus\Frames_Word_Level\FEVER\FEVER (2).jpg
FEVER,ISL_CSLRT_Corpus\Frames_Word_Level\FEVER\FEVER (3).jpg
FEVER,ISL_CSLRT_Corpus\Frames_Word_Level\FEVER\FEVER (4).jpg
FEVER,ISL_CSLRT_Corpus\Frames_Word_Level\FEVER\FEVER (5).jpg
FEVER,ISL_CSLRT_Corpus\Frames_Word_Level\FEVER\FEVER (6).jpg
FEVER,ISL_CSLRT_Corpus\Frames_Word_Level\FEVER\FEVER (7).jpg
FINE,ISL_CSLRT_Corpus\Frames_Word_Level\FINE\FINE (1).jpg
FINE,ISL_CSLRT_Corpus\Frames_Word_Level\FINE\FINE (2).jpg
FINE,ISL_CSLRT_Corpus\Frames_Word_Level\FINE\FINE (3).jpg
FINE,ISL_CSLRT_Corpus\Frames_Word_Level\FINE\FINE (4).jpg
FINE,ISL_CSLRT_Corpus\Frames_Word_Level\FINE\FINE (5).jpg
FINE,ISL_CSLRT_Corpus\Frames_Word_Level\FINE\FINE (6).jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD (1).jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD (10).jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD (11).jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD (12).jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD (13).jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD (2).jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD (3).jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD (4).jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD (5).jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD (6).jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD (7).jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD (8).jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD (9).jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\food 08.jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\food 18.jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD-1.jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD-2.jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD-3.jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD-4.jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD-5.jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD-6.jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD-7.jpg
FOOD,ISL_CSLRT_Corpus\Frames_Word_Level\FOOD\FOOD.jpg
FREE,ISL_CSLRT_Corpus\Frames_Word_Level\FREE\FREE (1).jpg
FREE,ISL_CSLRT_Corpus\Frames_Word_Level\FREE\FREE (2).jpg
FREE,ISL_CSLRT_Corpus\Frames_Word_Level\FREE\FREE (3).jpg
FREE,ISL_CSLRT_Corpus\Frames_Word_Level\FREE\FREE (4).jpg
FREE,ISL_CSLRT_Corpus\Frames_Word_Level\FREE\FREE (5).jpg
FREE,ISL_CSLRT_Corpus\Frames_Word_Level\FREE\FREE (6).jpg
FREE,ISL_CSLRT_Corpus\Frames_Word_Level\FREE\FREE (7).jpg
FRIEND,ISL_CSLRT_Corpus\Frames_Word_Level\FRIEND\FRIEND (1).jpg
FRIEND,ISL_CSLRT_Corpus\Frames_Word_Level\FRIEND\FRIEND (2).jpg
FRIEND,ISL_CSLRT_Corpus\Frames_Word_Level\FRIEND\FRIEND (3).jpg
FRIEND,ISL_CSLRT_Corpus\Frames_Word_Level\FRIEND\FRIEND (4).jpg
FRIEND,ISL_CSLRT_Corpus\Frames_Word_Level\FRIEND\FRIEND (5).jpg
FRIEND,ISL_CSLRT_Corpus\Frames_Word_Level\FRIEND\FRIEND (6).jpg
FROM,ISL_CSLRT_Corpus\Frames_Word_Level\FROM\FROM-1.jpg
FROM,ISL_CSLRT_Corpus\Frames_Word_Level\FROM\FROM-2.jpg
FROM,ISL_CSLRT_Corpus\Frames_Word_Level\FROM\FROM-3.jpg
FROM,ISL_CSLRT_Corpus\Frames_Word_Level\FROM\FROM-4.jpg
FROM,ISL_CSLRT_Corpus\Frames_Word_Level\FROM\FROM-5.jpg
FROM,ISL_CSLRT_Corpus\Frames_Word_Level\FROM\FROM-6.jpg
FROM,ISL_CSLRT_Corpus\Frames_Word_Level\FROM\FROM-7.jpg
GO,ISL_CSLRT_Corpus\Frames_Word_Level\GO\GO (1).jpg
GO,ISL_CSLRT_Corpus\Frames_Word_Level\GO\GO (2).jpg
GO,ISL_CSLRT_Corpus\Frames_Word_Level\GO\GO (3).jpg
GO,ISL_CSLRT_Corpus\Frames_Word_Level\GO\GO (4).jpg
GO,ISL_CSLRT_Corpus\Frames_Word_Level\GO\GO (5).jpg
GO,ISL_CSLRT_Corpus\Frames_Word_Level\GO\GO (6).jpg
GO,ISL_CSLRT_Corpus\Frames_Word_Level\GO\GO (7).jpg
GO,ISL_CSLRT_Corpus\Frames_Word_Level\GO\GO (8).jpg
GO,ISL_CSLRT_Corpus\Frames_Word_Level\GO\GO (9).jpg
GOOD,ISL_CSLRT_Corpus\Frames_Word_Level\GOOD\GOOD (1).jpg
GOOD,ISL_CSLRT_Corpus\Frames_Word_Level\GOOD\GOOD (2).jpg
GOOD,ISL_CSLRT_Corpus\Frames_Word_Level\GOOD\GOOD (3).jpg
GOOD,ISL_CSLRT_Corpus\Frames_Word_Level\GOOD\GOOD (4).jpg
GOOD,ISL_CSLRT_Corpus\Frames_Word_Level\GOOD\GOOD (5).jpg
GOOD,ISL_CSLRT_Corpus\Frames_Word_Level\GOOD\GOOD (6).jpg
GOOD,ISL_CSLRT_Corpus\Frames_Word_Level\GOOD\GOOD (7).jpg
GRATEFUL,ISL_CSLRT_Corpus\Frames_Word_Level\GRATEFUL\GRATEFUL (1).jpg
GRATEFUL,ISL_CSLRT_Corpus\Frames_Word_Level\GRATEFUL\GRATEFUL (2).jpg
GRATEFUL,ISL_CSLRT_Corpus\Frames_Word_Level\GRATEFUL\GRATEFUL (3).jpg
GRATEFUL,ISL_CSLRT_Corpus\Frames_Word_Level\GRATEFUL\GRATEFUL (4).jpg
GRATEFUL,ISL_CSLRT_Corpus\Frames_Word_Level\GRATEFUL\GRATEFUL (5).jpg
GRATEFUL,ISL_CSLRT_Corpus\Frames_Word_Level\GRATEFUL\GRATEFUL.jpg
HAD,ISL_CSLRT_Corpus\Frames_Word_Level\HAD\HAD (1).jpg
HAD,ISL_CSLRT_Corpus\Frames_Word_Level\HAD\HAD (2).jpg
HAD,ISL_CSLRT_Corpus\Frames_Word_Level\HAD\HAD (3).jpg
HAD,ISL_CSLRT_Corpus\Frames_Word_Level\HAD\HAD (4).jpg
HAPPENED,ISL_CSLRT_Corpus\Frames_Word_Level\HAPPENED\HAPPENED (1).jpg
HAPPENED,ISL_CSLRT_Corpus\Frames_Word_Level\HAPPENED\HAPPENED (2).jpg
HAPPENED,ISL_CSLRT_Corpus\Frames_Word_Level\HAPPENED\HAPPENED (3).jpg
HAPPENED,ISL_CSLRT_Corpus\Frames_Word_Level\HAPPENED\HAPPENED (4).jpg
HAPPENED,ISL_CSLRT_Corpus\Frames_Word_Level\HAPPENED\HAPPENED (5).jpg
HAPPY,ISL_CSLRT_Corpus\Frames_Word_Level\HAPPY\HAPPY (1).jpg
HAPPY,ISL_CSLRT_Corpus\Frames_Word_Level\HAPPY\HAPPY (2).jpg
HAPPY,ISL_CSLRT_Corpus\Frames_Word_Level\HAPPY\HAPPY (3).jpg
HAPPY,ISL_CSLRT_Corpus\Frames_Word_Level\HAPPY\HAPPY (4).jpg
HAPPY,ISL_CSLRT_Corpus\Frames_Word_Level\HAPPY\HAPPY (5).jpg
HEAR,ISL_CSLRT_Corpus\Frames_Word_Level\HEAR\HEAR (1).jpg
HEAR,ISL_CSLRT_Corpus\Frames_Word_Level\HEAR\HEAR (2).jpg
